Time(S);YoungBefore(KB);YoungAfter(KB);YoungAllocated(KB);OldBefore(KB);OldAfter(KB);OldAllocated(KB);OldYoungBefore(KB);OldYoungAfter(KB);OldYoungAllocated(KB);PermBefore(KB);PermAfter(KB);PermAllocated(KB);TotalBefore(KB);TotalAfter(KB);TotalAllocated(KB)
14111,133;164444;1152;168448;290260;291188;349696;454704;292340;518144;;;;;;
14124,748;162944;903;168448;291188;291525;349696;454132;292428;518144;;;;;;
14163,221;162695;1984;168448;291525;291700;349696;454220;293684;518144;;;;;;
14206,956;163776;6140;167936;291700;292284;349696;455476;298424;517632;;;;;;
14332,473;167932;1504;167936;292284;293331;349696;460216;294835;517632;;;;;;
14387,287;162272;1872;167936;293331;294156;349696;455603;296028;517632;;;;;;
14462,348;162640;6249;166912;294156;294492;349696;456796;300741;516608;;;;;;
14476,553;165993;1136;167424;294492;295544;349696;460485;296680;517120;;;;;;
14535,425;160880;6333;165376;295544;296112;349696;456424;302445;515072;;;;;;
14630,671;164029;5735;163840;296112;297489;349696;460141;303224;513536;;;;;;
14657,074;163431;5815;165888;297489;298704;349696;460920;304519;515584;;;;;;
14734,989;162487;3140;165888;298704;299967;349696;461191;303107;515584;;;;;;
14850,842;159812;1753;166400;299967;300855;349696;459779;302608;516096;;;;;;
15062,811;159449;3908;166400;300855;301537;349696;460304;305445;516096;;;;;;
15123,434;91740;1488;166912;301537;302379;349696;393277;303867;516608;;;;;;
15123,448;1488;0;166912;302379;259965;349696;303867;259965;516608;184161;180998;786432;488028;440963;1303040
15167,081;158720;4632;166912;259965;259965;349696;418685;264597;516608;;;;;;
15185,170;163352;5788;165888;259965;260949;349696;423317;266737;515584;;;;;;
15208,390;163484;3414;166400;260949;262248;349696;424433;265662;516096;;;;;;
15228,617;161110;1587;166912;262248;263096;349696;423358;264683;516608;;;;;;
15252,385;160307;832;166912;263096;263368;349696;423403;264200;516608;;;;;;
15268,807;159552;736;166912;263368;263656;349696;422920;264392;516608;;;;;;
15289,706;159456;3892;166912;263656;263896;349696;423112;267788;516608;;;;;;
15312,190;162612;4136;167424;263896;264927;349696;426508;269063;517120;;;;;;
15359,400;163368;2129;166912;264927;265754;349696;428295;267883;516608;;;;;;
15383,524;161361;2996;167936;265754;266355;349696;427115;269351;517632;;;;;;
15422,086;163252;896;167424;266355;266955;349696;429607;267851;517120;;;;;;
15432,826;161152;800;167936;266955;267291;349696;428107;268091;517632;;;;;;
15458,785;161568;4133;167936;267291;267660;349696;428859;271793;517632;;;;;;
15469,954;164901;4473;166912;267660;268521;349696;432561;272994;516608;;;;;;
15522,220;164217;1224;167424;268521;269140;349696;432738;270364;517120;;;;;;
15547,149;160968;4084;167936;269140;269580;349696;430108;273664;517632;;;;;;
15567,187;164852;2815;167936;269580;270468;349696;434432;273283;517632;;;;;;
15609,495;163583;1168;168448;270468;271179;349696;434051;272347;518144;;;;;;
15627,255;162448;3551;167936;271179;271603;349696;433627;275154;517632;;;;;;
15793,149;164831;6583;166400;271603;272209;349696;436434;278792;516096;;;;;;
16186,415;166327;1072;167424;272209;273293;349696;438536;274365;517120;;;;;;
16237,037;160816;3092;167936;273293;273573;349696;434109;276665;517632;;;;;;
16333,094;163348;3391;167424;273573;274294;349696;436921;277685;517120;;;;;;
16400,020;163647;4899;167936;274294;275166;349696;437941;280065;517632;;;;;;
16698,771;165667;5035;165888;275166;276279;349696;440833;281314;515584;;;;;;
16916,512;165803;1168;167424;276279;277462;349696;442082;278630;517120;;;;;;
16951,677;160912;6901;166912;277462;277679;349696;438374;284580;516608;;;;;;
16980,961;166645;4828;165888;277679;279026;349696;444324;283854;515584;;;;;;
16991,530;162524;1507;166400;279026;280298;349696;441550;281805;516096;;;;;;
17010,218;159203;3120;166912;280298;280713;349696;439501;283833;516608;;;;;;
17014,672;161328;3382;166400;280713;282606;349696;442041;285988;516096;;;;;;
17024,643;161590;2536;167936;282606;284317;349696;444196;286853;517632;;;;;;
17063,274;162792;992;167424;284317;284893;349696;447109;285885;517120;;;;;;
17089,367;161248;912;167936;284893;285189;349696;446141;286101;517632;;;;;;
17104,964;161680;3615;167936;285189;285518;349696;446869;289133;517632;;;;;;
17134,929;164383;768;167936;285518;286053;349696;449901;286821;517632;;;;;;
17151,258;161536;977;167936;286053;286326;349696;447589;287303;517632;;;;;;
17163,300;161745;4096;167936;286326;286493;349696;448071;290589;517632;;;;;;
17197,802;164864;4016;167936;286493;287029;349696;451357;291045;517632;;;;;;
17208,957;164784;3266;167936;287029;288293;349696;451813;291559;517632;;;;;;
17327,865;164034;4062;167936;288293;289487;349696;452327;293549;517632;;;;;;
17387,253;164830;2224;168448;289487;290829;349696;454317;293053;518144;;;;;;
17504,302;163504;4244;167936;290829;291110;349696;454333;295354;517632;;;;;;
17557,896;165524;2639;168448;291110;292182;349696;456634;294821;518144;;;;;;
17599,139;163919;864;167936;292182;292894;349696;456101;293758;517632;;;;;;
17611,091;162144;1872;168448;292894;293302;349696;455038;295174;518144;;;;;;
17642,958;163638;3248;168448;293303;293901;349696;456941;297149;518144;;;;;;
17666,462;165040;1024;168960;293901;294660;349696;458941;295684;518656;;;;;;
17674,080;163840;978;168960;294660;294997;349696;458500;295975;518656;;;;;;
17686,612;163783;3361;168960;294996;295156;349696;458779;298517;518656;;;;;;
17709,213;166177;1792;168960;295156;295776;349696;461333;297568;518656;;;;;;
17722,781;164608;1661;169472;295776;296248;349696;460384;297909;519168;;;;;;
17733,912;164989;1792;168960;296248;296488;349696;461237;298280;518656;;;;;;
17745,272;165120;4277;168448;296488;297102;349696;461608;301379;518144;;;;;;
17777,530;167093;5498;168448;297102;297575;349696;464195;303073;518144;;;;;;
17804,243;168314;1217;168448;297575;298749;349696;465889;299966;518144;;;;;;
17837,999;163009;2816;168448;298749;299181;349696;461758;301997;518144;;;;;;
17877,133;164608;2682;168960;299181;299821;349696;463789;302503;518656;;;;;;
17891,204;165498;3976;168960;299821;300408;349696;465319;304384;518656;;;;;;
